index,sql
0,"('SELECT COUNT(DISTINCT chemical_id) FROM chemicals;',    COUNT(DISTINCT chemical_id)
0                           34, None)"
1,"('SELECT endpoint_id, endpoint_name, endpoint_desc FROM endpoints;',     endpoint_id      endpoint_name  \
0             1  log10_D1@both_auc   
1             2  log10_D2@both_auc   
2             3  log10_L1@both_auc   
3             4  log10_L2@both_auc   
4             5                 D1   
5             6                 D2   
6             7                 L1   
7             8                 L2   
8             9          D1@up_auc   
9            10        D1@down_auc   
10           11        D1@both_auc   
11           12          D2@up_auc   
12           13        D2@down_auc   
13           14        D2@both_auc   
14           15          L1@up_auc   
15           16        L1@down_auc   
16           17        L1@both_auc   
17           18          L2@up_auc   
18           19        L2@down_auc   
19           20        L2@both_auc   
20           21     Zt_LD_spearman   
21           22      Zt_LD_pearson   
22           23        LD_spearman   
23           24         LD_pearson   

                                        endpoint_desc  
0   log10(relative AUC at a phase only for perturb...  
1   log10(relative AUC at a phase only for perturb...  
2   log10(relative AUC at a phase only for perturb...  
3   log10(relative AUC at a phase only for perturb...  
4   absolute AUC at a phase normalized with median...  
5   absolute AUC at a phase normalized with median...  
6   absolute AUC at a phase normalized with median...  
7   absolute AUC at a phase normalized with median...  
8   relative AUC at a phase and no normalization a...  
9   relative AUC at a phase and no normalization a...  
10  relative AUC at a phase and no normalization a...  
11  relative AUC at a phase and no normalization a...  
12  relative AUC at a phase and no normalization a...  
13  relative AUC at a phase and no normalization a...  
14  relative AUC at a phase and no normalization a...  
15  relative AUC at a phase and no normalization a...  
16  relative AUC at a phase and no normalization a...  
17  relative AUC at a phase and no normalization a...  
18  relative AUC at a phase and no normalization a...  
19  relative AUC at a phase and no normalization a...  
20  FisherZ(movement pattern similarity) normalize...  
21  FisherZ(movement pattern similarity) normalize...  
22  movement pattern similarity normalized with me...  
23  movement pattern similarity normalized with me...  , None)"
2,"('SELECT plate_name, plate_stage FROM plates;',                       plate_name  plate_stage
0    biobide_1588_1_v1:Plate3-R1  proficiency
1    biobide_1588_1_v1:Plate3-R2  proficiency
2    biobide_1588_1_v1:Plate3-R3  proficiency
3    biobide_1359_1_v1:Plate2-R1  proficiency
4    biobide_1359_1_v1:Plate2-R2  proficiency
..                           ...          ...
250           osu_nc_3:OECD-0171  proficiency
251           osu_nc_3:OECD-0169  proficiency
252           osu_nc_4:OECD-0174  proficiency
253           osu_nc_4:OECD-0173  proficiency
254           osu_nc_4:OECD-0166  proficiency

[255 rows x 2 columns], None)"
3,"('SELECT COUNT(DISTINCT well_type) FROM well_types;',    COUNT(DISTINCT well_type)
0                          2, None)"
4,"('SELECT * FROM phases;',    phase_code source_code
0          L1           a
1          D1           a
2          L2           a
3          D2           a
4          L0           b
5          D0           b
6          L1           b
7          D1           b
8          L2           b
9          D2           b
10         L1           c
11         D1           c
12         L2           c
13         D2           c
14         L3           c
15         D3           c
16         L1           d
17         D1           d
18         L2           d
19         D2           d, None)"
5,"('SELECT COUNT(*) FROM behavior_data;',    COUNT(*)
0   2539392, None)"
6,"('SELECT DISTINCT concentration_unit FROM devtox_data;',   concentration_unit
0                 uM
1                  %, None)"
7,"('SELECT bin_id, bin_range FROM bins;',      bin_id        bin_range
0         1    Start-0:01:00
1         2  0:01:00-0:02:00
2         3  0:02:00-0:03:00
3         4  0:03:00-0:04:00
4         5  0:04:00-0:05:00
..      ...              ...
193     194    0:5:00-0:6:00
194     195    0:6:00-0:7:00
195     196    0:7:00-0:8:00
196     197    0:8:00-0:9:00
197     198   0:9:00-0:10:00

[198 rows x 2 columns], None)"
8,"('SELECT DISTINCT source_code FROM plates;',   source_code
0           a
1           b
2           c
3           d, None)"
9,"('SELECT COUNT(*) FROM endpoint_data;',    COUNT(*)
0    479784, None)"
